rank,song_id,title,singers,album,date,genre,creator,lyric,singer_id,debut,singer_type,singer_gender,company,bthday
6,57632,"서울 서울 서울",조용필,"`88 조용필 10집",1988.05.28,Ballad,양인자,"해질 무렵 거리에 나가 차를 마시면 내 가슴에 아름다운 냇물이 흐르네 이별이란 헤어짐이 아니었구나 추억속에서 다시 만나는 그대  베고니아 화분이 놓인 우체국 계단 어딘가에 엽서를 쓰던 그녀의 고운 손 그 언제쯤 나를 볼까 마음이 서두네 나의 사랑을 가져가 버린 그대  서울 서울 서울 아름다운 이 거리 서울 서울 서울 그리움이 남는 곳 서울 서울 서울 사랑으로 남으리 오 오 오 never forget of my lover 서울  이별을 알면서도 사랑에 빠지고 차 한잔을 함께 마셔도 기쁨에 떨렸네 내 인생에 영원히 남을 화려한 축제여 눈물 속에서 멀어져 가는 그대여 서울 서울 서울 아름다운 이 거리 서울 서울 서울 그리움이 남는 곳 서울 서울 서울 사랑으로 남으리 오 오 오 never forget of my lover 서울  서울 서울 서울 아름다운 이 거리 서울 서울 서울 그리움이 남는 곳 서울 서울 서울 사랑으로 남으리 오 오 오 never forget of my lover 서울  서울 서울 서울 아름다운 이 거리 서울 서울 서울 그리움이 남는 곳",19,1969,솔로,남성,YPC프로덕션,1950.03.21
7,58150,"안녕이라고 말하지마",이승철,"이승철 1집 (안녕이라고말하지마)",1988.12.01,Ballad,박광현,"소리내지마 우리사랑이 날아가버려  움직이지마 우리사랑이 약해지잖아  얘기하지마 우리사랑을 누가듣잖아  다가오지마 우리사랑이 멀어지잖아  안녕이라고 말하지마 나는 너를 보고 있잖아  그러나 자꾸 눈물이 나서 널 볼수가 없어  안녕이라고 말하지마  우린 아직 이별이 뭔지 몰라   소리내지마 우리사랑이 날아가버려  움직이지마 우리사랑이 멀어지잖아  안녕이라고 말하지마 나는 너를 보고 있잖아  그러나 자꾸 눈물이 나서 널 볼수가 없어  안녕이라고 말하지마 우린 아직 이별이 뭔지 몰라",1010,1988.12,솔로,남성,,1966.12.05
6,58151,"마지막 나의 모습",이승철,"이승철 1집 (안녕이라고말하지마)",1988.12.01,Ballad,김진룡,"당신을 알고 사랑을 알고 당신때문에 괴로운 이별 시들은 꽃처럼 창백한 얼굴로 돌아서는 이 밤 사랑이 나를 내가 사랑을 아무 일 없듯 떠나보냈나 슬픔을 감추며 멀어진 그대 허탈한 뒷모습 난 모르겠어 떠난 그 이유 다시는 사랑할 수 없다는 걸 난 알고싶어 그대 그 마음 왜 나를 외면해야 했는지 외로움에 지쳐버린 사랑했던 사람들의 고독들이 꺼져가는 불빛따라 흔들리듯 걷고 있는 내모습이 너무 초라해 보이면 싫어  난 모르겠어 떠난 그 이유 다시는 사랑할 수 없다는 걸 난 알고싶어 그대 그 마음 왜 나를 외면해야 했는지 외로움에 지쳐버린 사랑했던 사람들의 고독들이 꺼져가는 불빛따라 흔들리듯 걷고 있는 내모습이 너무 초라해 보이면 싫어",1010,1988.12,솔로,남성,,1966.12.05
2,58160,"마지막 콘서트",이승철,"이승철 Part 2",1989.12.10,Ballad,김태원,"지금 슬픈 내 모습은 무대뒤 한 소녀  애써 눈물 참으며 바라보고 있네  무대 뒤에 그 소녀는 작은 의자에 앉아  두 손 곱게 모으고 바라 보며 듣네  나의 얘기를 워 소녀는 나를 알기에 더더욱 슬퍼지네  노래는 점점흐르고 소녀는 울음 참지 못해  밖으로 나가버리고  노랜 끝이 났지만 이젠 부르지 않으리 에 이 슬픈 노래  밖으로 나가 버리고 노랜 끝이났지만 이젠 부르지 않으리 에 이 슬픈 노래",1010,1988.12,솔로,남성,,1966.12.05
6,59173,"이밤을 다시 한 번",조하문,"이 밤을 다시 한번/눈오는 밤",1987.08.15,Ballad,조하문,"아주 우연히 만나 슬픔만 안겨준 사람 내 맘속에 작은 촛불이 되어 보고 싶어질 때면 두눈을 감아버려요 소리 질러 불러보고 싶지만 어디에선가 당신 모습이 다가오는 것 같아 이젠 견딜 수 없어요 이 밤을 이 밤을 다시 한 번 당신과 보낼 수 있다면 이 모든 이 모든 내 사랑을 당신께 드리고 싶어요 조그만 낙엽들이 땅 위에 떨어지듯이 내 맘은 갈 곳이 없어요 어디에선가 당신 모습이 다가오는 것 같아 이젠 견딜 수 없어요 이 밤을 이 밤을 다시 한 번 당신과 보낼 수 있다면 이 모든 이 모든 내 사랑을 당신께 드리고 싶어요 이 밤을 이 밤을 다시 한 번 당신과 보낼 수 있다면 이 모든 이 모든 내 사랑을 당신께 드리고 싶어요",539,1987.08,솔로,남성,,1959.12.24
5,59177,"사랑하는 우리",조하문,"이 밤을 다시 한번/눈오는 밤",1987.08.15,Ballad,조하문,"사랑하는 우리를 그 누구가 둘이라고 느끼게 하고 있나 기도하는 우리는 예전처럼 아무 걱정도 없는  우리의 얼굴 해가뜨면 다시 지는 그런 사랑은 아냐 어둠에도 체온으로 느껴지는 그런 그런 사랑이야 사랑하는 우리를 그 무엇이 둘이라고 느끼게 하였는가 해가뜨면 다시 지는 그런 사랑은 아냐 어둠에도 체온으로 느껴지는 그런 그런 사랑이야 해가뜨면 다시 지는 그런 사랑은 아냐 어둠에도 체온으로 느껴지는 그런 그런 사랑이야",539,1987.08,솔로,남성,,1959.12.24
10,59181,"내 아픔 아시는 당신께",조하문,"내아픔 아시는 당신께 / 그대는 몰라요",1989.03.15,Ballad,조하문,"어둠을 헤치는 세월은  말없이 흘러만 가는데  지나간 시간이 서러워  한없는 눈물만 흐르네  그러던 어느 날 사랑을 만났네  누구도 느낄 수 없는  내 아픔 아시는 당신께  내 모든 사랑드려요  이 눈물 보시는 당신에게  내 마음드려요   어느덧 구름은 걷히고  따스한 햇살이 내게로  젖었던 내 마음 마르고  파아란 하늘이 감싸오네  이제는 나는 사랑을 배웠네  누구도 느낄 수 없는  내 아픔 아시는 당신께  내 모든 사랑드려요  이 눈물 보시는 당신에게  내 마음드려요  내 아픔 아시는 당신께  내 모든 사랑드려요  이 눈물 보시는 당신에게  내 마음드려요",539,1987.08,솔로,남성,,1959.12.24
3,59193,친구여,조용필,"산유화/여자의 정/한강",1983.06.25,Ballad,하지영,"꿈은 하늘에서 잠자고 추억은 구름 따라 흐르고 친구여 모습은 어딜 갔나 그리운 친구여 옛 일 생각이 날 때마다 우리 잃어버린 정 찾아 친구여 꿈 속에서 만날까 조용히 눈을 감네 슬픔도 기쁨도 외로움도 함께 했지 부푼 꿈을 안고 내일을 다짐하던 우리 굳센 약속 어디에 꿈은 하늘에서 잠자고 추억은 구름 따라 흐르고 친구여 모습은 어딜 갔나 그리운 친구여  옛 일 생각이 날 때마다 우리 잃어버린 정 찾아 친구여 꿈 속에서 만날까 조용히 눈을 감네 슬픔도 기쁨도 외로움도 함께 했지 부푼 꿈을 안고 내일을 다짐하던 우리 굳센 약속 어디에 꿈은 하늘에서 잠자고 추억은 구름 따라 흐르고 친구여 모습은 어딜 갔나 그리운 친구여",19,1969,솔로,남성,YPC프로덕션,1950.03.21
4,59257,"참새의 하루",송창식,"송창식 골든 제3집",1988.10.03,Folk,송창식,"아침이 밝는구나 언제나 그렇지만 오늘도 재너머에 낟알갱이 주우러 나가봐야지 아침이 밝는구나  바람이 부는구나 언제나 그렇지만 오늘도 허수아비 뽐을 내며 깡통소리 울려대겠지 바람이 부는구나  햇볕이 따갑구나 언제나 그렇지만 오늘도 어디가서 물 한모금 추기고 재잘대야지 햇볕이 따갑구나  희망은 새롭구나 언제나 똑같지만 커다란 방앗간에 집을 짓고 오손도손 살아봐야지 희망은 새롭구나  이제는 졸립구나 언제나 그렇지만 마누라 바가지는 자장가로 부르는 사랑의 노래 이제는 졸립구나 아침이 밝는구나 바람이 부는구나 햇볕이 따갑구나 희망은 새롭구나 이제는 졸립구나 아침이 밝는구나 바람이 부는구나",833,1975.08,솔로,남성,,1947.02.02
10,59258,"담배가게 아가씨",송창식,"송창식 골든 제3집",1988.10.03,Folk,송창식,"우리동네 담배가게에는",833,1975.08,솔로,남성,,1947.02.02
8,60014,아베마리아,김승덕,"그대 얼굴 바라볼 수 있다면",1994.08,Folk,계동균,"우리들의 사랑 기약할 수 없어  명동성당 근처에서 쓸쓸히 헤어졌네  떠나가는 뒷모습  인파 속으로 사라질 때  나는 눈물 흘리며  슬픈 종소리 들었네 아베마리아 아베마리아 아아 이렇게 방황하는 나에게 용기를 주세요  밤은 깊어가고 비는 내리는데  명동성당 근처를 배회하는 내 모습  나는 눈물 흘리며 추억찾아 헤매일때  나를 지켜주는 성당의 종소리 아베마리아 아베마리아 아아 이렇게 방황하는 나에게 용기를 주세요 아베마리아 아베마리아 아아 이렇게 방황하는 나에게 용기를 주세요 아베마리아 아베마리아 아아 이렇게 방황하는 나에게 용기를 주세요",27,1984,솔로,남성,,1959.04.18
4,60162,"우린 너무 쉽게 헤어졌어요",최진희,"최진희 골든 히트앨범",1990,"Adult Contemporary",박건호,"그대의 옷자락에 매달려 눈물을 흘려야했나요 길목을 가로막고 가지말라고 애원해야 했나요 떠나가버린 그대때문에 내모습이 야위어가요 아무에게도 말을 못하고 남 모르게 가슴아파요  우린 너무 쉽게 헤어졌어요 우린 너무 쉽게 헤어졌어요 한번쯤 다시 만나 생각해봐요 너무 쉽게 헤어졌어요  떠나가 버린 그대때문에 내모습이 야위어가요 아무에게도 말을 못하고 남 모르게 가슴아파요 우린 너무 쉽게 헤어졌어요 우린 너무 쉽게 헤어졌어요 한번쯤 다시 만나 생각해봐요 너무 쉽게 헤어졌어요",1138,1983,솔로,여성,,1959.01.03
9,60876,"너의 의미",산울림,"너의 의미",1984.07.20,Rock,김한영,"너의 그 한 마디 말도 그 웃음도 나에겐 커다란 의미 너의 그 작은 눈빛도 쓸쓸한 그 뒷모습도 나에겐 힘겨운 약속 너의 모든 것은 내게로 와 풀리지 않는 수수께끼가 되네 슬픔은 간이역의 코스모스로 피고 스쳐 불어온 넌 향긋한 바람 나 이제 뭉게구름 위에 성을 짓고 널 향해 창을 내리 바람드는 창을 너의 그 한 마디 말도 그 웃음도 나에겐 커다란 의미 너의 그 작은 눈빛도 쓸쓸한 그 뒷모습도 나에겐 힘겨운 약속  너의 그 한 마디 말도 그 웃음도 나에겐 커다란 의미 너의 그 작은 눈빛도 쓸쓸한 그 뒷모습도 나에겐 힘겨운 약속 너의 모든 것은 내게로 와 풀리지 않는 수수께끼가 되네 슬픔은 간이역의 코스모스로 피고 스쳐 불어온 넌 향긋한 바람 나 이제 뭉게구름 위에 성을 짓고 널 향해 창을 내리 바람드는 창을",101013,1977.12,그룹,남성,,
9,60921,물안개,석미경,"석미경 1집",1989.01,Ballad,석미경,"하얗게 피어나는 물안개처럼 당신은 내 가슴 속에 살며시 피어났죠 조용히 밀려드는 물안개처럼 우리의 속삭임도 그러했는데 하얗게 지새운 밤을 당신은 잊었나요 그 날의 기억들도 당신은 잊었나요 기다림에 지쳐버린 이 내 작은 영혼 온 밤을 꼬박 새워 널 위해 기도하리  조용히 밀려드는 물안개처럼 우리의 속삭임도 그러했는데 하얗게 지새운 밤을 당신은 잊었나요 그 날의 기억들도 당신은 잊었나요 기다림에 지쳐버린 이 내 작은 영혼 온 밤을 꼬박 새워 널 위해 기도하리",934,1989,솔로,여성,,1967.12.26
5,60992,"Happy Birthday",이상은,"이상은 1집",1989.01.20,Ballad,강인원,"happy birthday to you oh my friend happy birthday to you oh my love happy birthday to you oh my friend happy birthday to you oh my love 문을 열면 생각지도 않았던 그대 한 움큼꽃을 안고 문 밖에 서서 happy birthday to you happy birthday to you oh my friend 불을 켜면 어둠에 누워있던 아침이 방안의 침묵에 먼지를 털면서 happy birthday to you happy birthday to you oh my love 열아홉개 촛불을 켜주고 그대가 떠나버린 날 아무런 표현도 못하고 너무 가슴 아파서 오늘만은 그대와 함께 오늘만은 그대가 내게 happy birthday to you oh my friend happy birthday to you oh my love  떨고 있는 유리창에게 입김불어 그대여 안녕 이라썼지 뜻밖에 그대가 돌아온 햇살 가득한 아침 오늘만은 그대와 함께 오늘만은 그대가 내게 happy birthday to you oh my friend happy birthday to you oh my love happy birthday to you oh my friend happy birthday to you oh my love happy birthday to you",458,1988.08,솔로,여성,브리즈뮤직,1970.03.12
4,61379,"사랑의 시",윤시내,"Yeun Si Nae, Na Mee Duet I",1991.03.30,"Adult Contemporary",임선경,"그대 때문에 이 토록 가슴이 타는 것은 나 그대의 사람이 되고 픈 까닭입니다 한 걸음 다가서면 가까워 질 듯해도 나 한 걸음 물러섬은 기다리는 마음입니다 나에게 그대 없는 세상은 차라리 눈물 보다 슬픈 것 내 작은 가슴에 내 작은 가슴에 슬픔을 만들지 말아요 그대 때문에 이 토록  잠 못드는 것은 나 그대의 여인이 되고픈 까닭입니다  나에게 그대 없는 세상은 차라리 눈물 보다 슬픈 것 내 작은 가슴에 내 작은 가슴에 슬픔을 만들지 말아요 그대 때문에 이 토록  잠 못드는 것은 나 그대의 여인이 되고픈 까닭입니다",1012,1978.09,솔로,여성,,1952.07.07
7,61490,"우리 앞의 생이 끝나갈 때",무한궤도,"우리 앞의 생이 끝나갈 때",1989.06,Rock,신해철,"흐린 창문 사이로",101761,1989.06,그룹,남성,,
5,62770,"아득히 먼곳",이승재,"이승재 히트전집",1993,"Adult Contemporary",이응수,"찬바람 비껴 불어 이르는 곳에 마음을 두고 온 것도 아니라오 먹구름 흐트러져 휘도는 곳에 미련을 두고 온 것도 아니라오 아 어쩌다 생각이 나면 그리운 사람있어 밤을 지새고 가만히 생각하면 아득히 먼곳이라 허전한 이 내 맘에 눈물 적시네  황금빛 저녁 노을 내리는 곳에 사랑이 머무는 것도 아니라오 호숫가 푸른 숲속 아늑한 곳에 내님이 머무는 것도 아니라오 아 어쩌다 생각이 나면 그리운 사람 있어 밤을 지새고 가만히 생각하면 아득히 먼곳이라 허전한 이 내 맘에 눈물 적시네 아 어쩌다 생각이 나면 그리운 사람 있어 밤을 지새고 가만히 생각하면 아득히 먼곳이라 허전한 이 내 맘에 눈물 적시네",5722,1970,솔로,남성,,1946.07.28
9,64899,"도시의 거리",정수라,"도시의 거리/아! 대한민국/아버지의 의자/우리는 친구",1991,Dance,박건호,"여기는 도시의 거리 그대를 처음 만난 곳 우리들은 오늘 밤도 함께 있네  여기는 낭만의 거리 불빛이 흘러내리고 우리들은 먼훗날을 생각하네 넘치는 잔마다 꿈이 피어나는 거리 가슴을 열어라 뜨거운 이야기는 우리의 고독을 씻어준다 가로수 잎들이 계절을 말해주는 거리 추억을 남기며 아쉬운 낮과 밤이 우리의 곁을 떠나간다 떠나간다  내 사랑아 잊지 말자 내 사랑아 잊지 말자 이 거리의 불빛처럼 타오르는 사랑을 잊지말자 그대여  넘치는 잔마다 꿈이 피어나는 거리 가슴을 열어라 뜨거운 이야기는 우리의 고독을 씻어준다 가로수 잎들이 계절을 말해주는 거리 추억을 남기며 아쉬운 낮과 밤이 우리의 곁을 떠나간다 떠나간다  내 사랑아 잊지 말자 내 사랑아 잊지 말자 이 거리의 불빛처럼 타오르는 사랑을 잊지 말자 그대여 내 사랑아 잊지 말자 내 사랑아 잊지 말자 이 거리의 불빛처럼 타오르는 사랑을 잊지 말자 그대여",990,1974,솔로,여성,제이뮤직컴퍼니,1963.10.28
9,65380,"미소를 띄우며 나를 보낸 그 모습처럼",이은하,"이은하 The Golden Best",1994,Dance,이은하,"날 위해 울지 말아요 날 위해 슬퍼 말아요  그렇게 바라보지 말아요  의미를 잃어버린 그 표정 날 사랑하지 말아요 너무 늦은 얘기잖아요 애타게 기다리지 말아요  사랑은 끝났으니까   그대 왜 나를 그냥 떠나가게 했나요  이렇게 다시 후회할 줄 알았다면 아픈 시련 속에 방황하지 않았을텐데  사랑은 이제 내게 남아있지 않아요  아무런 느낌 가질 수 없어요 미소를 띄우며 나를 보낸 그 모습처럼  그대 왜 나를 그냥 떠나가게 했나요  이렇게 다시 후회할 줄 알았다면 아픈 시련 속에 방황하지 않았을텐데  사랑은 이제 내게 남아있지 않아요  아무런 느낌 가질 수 없어요 미소를 띄우며 나를 보낸 그 모습처럼  나를 보낸 그 모습처럼",1062,1973,솔로,여성,,1961.03.29
10,66249,"그대 없는 거리",신촌블루스,"그대 없는 거리",1988.01.10,"Blues,Rock",엄인호,"거리엔 또 다시 어둠이 내리고 희미한 가로등 불이 켜지면 어우러진 사람들 속에 길을 걸으며 텅빈 내 마음을 달래 봅니다 이렇게 못잊는 그대 생각에 오늘도 차가운 길을 가는데 지울 수 없는 한줄기 미련 때문에 오늘밤 이 거리를 헤매입니다 지친 내 발길은 그대 찾아서 포근히 잠든 그대 모습 그리며 멈추지 않는 내 발길은 어쩔 수 없어 예 어쩔 수 없어 예헤헤 우우 어쩔 수 없어 지친 내 발길은 그대 찾아서 포근히 잠든 그대 모습 그리며 멈추지 않는 내 발길은 어쩔 수 없어 예헤헤 우우 어쩔 수 없어 예헤헤 우우 어쩔 수 없어",101599,1988.01,그룹,혼성,,
5,66528,"그댄 봄비를 무척 좋아하나요",배따라기,배따라기,1990.02,Folk,이혜민,"그댄 봄비를  무척 좋아하나요  나는요 비가오면  추억속에 잠겨요  그댄 바람소리  무척 좋아 하나요  나는요 바람불면  바람속을 걸어요  외로운 내가슴에  남 몰래 다가와  사랑 심어놓고  떠나간 그 사람을  나는요 정말  미워하지 않아요  그댄 낙엽지면  무슨 생각 하나요  나는요 둘이걷던  솔밭길 홀로 걸어요    그댄 봄비를  무척 좋아하나요  나는요 비가오면  추억속에 잠겨요  외로운 내가슴에  남 몰래 다가와  사랑 심어놓고  떠나간 그 사람을  나는요 정말  미워하지 않아요  그댄 낙엽지면  무슨 생각 하나요  나는요 둘이걷던  솔밭길 홀로 걸어요  솔밭길 홀로 걸어요  솔밭길 홀로 걸어요",100751,1983,그룹,혼성,,
6,66537,"그대 작은 화분에 비가 내리네",배따라기,배따라기,1990.02,Folk,이혜민,"비가 내리네 그대 작은 화분에 잊혀졌던 기억이 떠오르네 비가 내리네 그대 떠난 마음에 슬픔만이 남았다네 견딜수 없다네 눈물 흐르네 외로운 내 마음엔 그대없는 이 밤이 너무 길게 느껴지네 비가 내리네 쓸쓸한 내 마음에 그대 떠난 이밤이 외로워졌네 오우 오우 오우 비가 내리네 그대 작은 화분에 상처 받은 마음을 어떻게 달랠까 비가 내리네 그대 작은 화분에 고독만이 밀리네 이밤 지나갈때까지 오우 오우 비가 내리네 그대 작은 화분에 어리석은 마음은 추억에 졌네 비가 내리네 그대 작은 화분에 고독만이 밀리네 이밤 지나갈때까지  비가 내리네 그대 작은 화분에 그대 떠난 이밤이 외로워졌네 오우 오우 오우 비가 내리네 그대 작은 화분에 상처 받은 마음을 어떻게 달랠까 비가 내리네 그대 작은 화분에 고독만이 밀리네 이밤 지나갈때까지 오우 비가 비가 내리네 그대 작은 화분에 어리석은 마음은 추억에 졌네 비가 내리네 그대 작은 화분에 고독만이 밀리네 이밤 지나갈때까지 오우 오우 비가 비가 내리네 우우우 비가 내리네 오우 비가 비가 내리네 비가 그대 창에 내리네 비가 내리네 비가 비가",100751,1983,그룹,혼성,,
10,66539,은지,배따라기,배따라기,1990.02,Folk,이혜민,"은지 빗물이 한 방울 두 방울 거리에 내리잖아 은지 이젠 눈물을 닦고 귀엽게 한번 웃어봐 겨울바다에 우리둘이 있는걸 은지 한번 생각해봐 사람없는 성당에서 둘이기도 드릴때 은지 얼마나 좋겠니 은지 우린 약속 했잖아 난 네가 정말 좋다고 은지 우리 약속했잖아 철 지난 바닷가에서 은지 우리 파도 밀릴때 둘이 꼭 행복하자고 겨울바다에 우리둘이 있는걸 은지한번 생각해봐 사람없는 성당에서 둘이 기도드릴때 은지 얼마나 좋겠니 은지 우린 약속했잖아 난 네가 정말 좋다고 은지 우린 약속했잖아 난 네가 정말 좋다고 은지",100751,1983,그룹,혼성,,
9,66655,"겨울 바다",푸른하늘,겨울바다/하얀사랑,1988.03.13,Ballad,유영석,"겨울 바다로 가자 메워진 가슴을 열어보자 스치는 바람 불면 너의 슬픔 같이 하자 너에게 있던 모든 괴로움들은 파도에 던져버려 잊어버리고 허탈한 마음으로 하늘을 보라 너무나 아름다운 곳을 겨울 바다로 그대와 달려가고파 파도가 숨쉬는 곳에 끝없이 멀리 보이는 수평선까지 넘치는 기쁨을 안고  너에게 있던 모든 괴로움들은 파도에 던져버려 잊어버리고 허탈한 마음으로 하늘을 보라 너무나 아름다운 곳을 겨울 바다로 그대와 달려가고파 파도가 숨쉬는 곳에 끝없이 멀리 보이는 수평선까지 넘치는 기쁨을 안고 겨울 바다로 그대와 달려가고파 파도가 숨쉬는 곳에 끝없이 멀리 보이는 수평선까지 넘치는 기쁨을 안고 겨울 바다로 그대와 달려가고파 파도가 숨쉬는 곳에 끝없이 멀리 보이는 수평선까지 넘치는 기쁨을 안고",100986,1988.03,그룹,남성,,
4,68142,"어제, 오늘, 그리고",조용필,"조용필 7집",1985.04.10,Rock,하지영,"바람소리처럼 멀리 사라져갈 인생길 우린 무슨 사랑 어떤 사랑했나 텅 빈 가슴속에 가득 채울 것을 찾아서 우린 정처 없이 떠나가고 있네 여기 길 떠나는 저기 방황하는 사람아 우린 모두 같이 떠나가고 있구나 끝없이 시작된 방랑 속에서 어제도 오늘도 나는 울었네 어제 우리가 찾은 것은 무엇인가 잃은 것은 무엇인가 버린 것은 무엇인가 오늘 우리가 찾은 것은 무엇인가 잃은 것은 무엇인가 남은 것은 무엇인가 오늘 우리가 찾은 것은 무엇인가 잃은 것은 무엇인가 남은 것은 무엇인가 어떤 날은 웃고 어떤 날은 울고 우는데 어떤 꽃은 피고 어떤 꽃은 지고 있네 오늘 찾지 못한 나의 알 수 없는 미련에 헤어날수 없는 슬픔으로 있네 여기 길 떠나는 저기 방황하는 사람아 우린 모두 같이 떠나가고 있구나 끝없이 시작된 방랑 속에서 어제도 오늘도 나는 울었네 어제 우리가 찾은 것은 무엇인가 잃은 것은 무엇인가 버린 것은 무엇인가 오늘 우리가 찾은 것은 무엇인가 잃은 것은 무엇인가 남은 것은 무엇인가",19,1969,솔로,남성,YPC프로덕션,1950.03.21
10,68153,"미지의 세계",조용필,"조용필 7집",1985.04.10,Rock,하지영,"이순간을 영원히 아름다운 마음으로 미래를 만드는 우리들의 푸른꿈 어어어어어어 하고싶은 이야기 너와 내가 만들어요 우리는 모두다 사랑하는 친구들 어어어 어어어 아아아 노래를 사랑의 노래를 미지의 세계를 찾아서 떠나요 사랑의 노래를 멈추지 말아요 언제나 끝이 없어라 알수 없는 질문과 대답 저 넓은 하늘끝까지 우리들의 사랑을 노래해요 머물곳을 찾아서 낯선곳을 찾아가서 미래를 만드는 우리들의 푸른꿈 어어어 어어어 가슴으로 느끼며 마음으로 얘기해요 우리는 노래를 사랑하는 친구들 어어어 어어어 아아아 노래를 사랑의 노래를 미지의 세계를 찾아서 떠나요 사랑의 노래를 멈추지 말아요 언제나 끝이 없어라 알수 없는 질문과 대답 저 넓은 하늘끝까지 우리들의 사랑을 노래해요 어허 어허허 미지의 세계를 찾아서 떠나요 사랑의 노래를 멈추지 말아요",19,1969,솔로,남성,YPC프로덕션,1950.03.21
8,68154,"아시아의 불꽃",조용필,"조용필 7집",1985.04.10,Rock,소수옥,"아시아의 젊은이여 아시아의 젊은이여 영원한 사랑을 위하여 같이 가리라 여기 모여서 우리의 노래를 부르리라 사랑도 하나 마음도 하나 우리의 숨결도 하나 여기 모여서 같이 가리라 우리의 노래를 부르리라 FIRE CRACKER OF ASIA FIRE CRACKER OF ASIA 아시아의 젊은이여 아시아의 젊은이여 영원한 사랑을 위하여 같이 가리라 여기 모여서 우리의 노래를 부르리라 사랑도 하나 마음도 하나 우리의 숨결도 하나 여기 모여서 같이 가리라 우리의 노래를 부르리라 FIRE CRACKER OF ASIA FIRE CRACKER OF ASIA 나는 너를 사랑하고 너도 나를 사랑할때 우리들은 모두가 하나 하나 저기 보이는 곳에 저기 숨쉬는 곳에 우리들의 평화가 사랑의 평화가 오 아시아의 젊은이여 아시아의 젊은이여 영원한 사랑을 위하여 같이 가리라 여기 모여서 우리의 노래를 부르리라 사랑도 하나 마음도 하나 우리의 숨결도 하나 여기 모여서 같이 가리라 우리의 노래를 부르리라 FIRE CRACKER OF ASIA FIRE CRACKER OF ASIA 나는 너를 사랑하고 너도 나를 사랑할때 우리들은 모두가 하나 하나 저기 보이는 곳에 저기 숨쉬는 곳에 우리들의 평화가 사랑의 평화가 오 랄랄랄라 랄랄랄라 랄랄랄 랄랄랄라 랄랄랄라 랄랄랄라 랄랄랄 랄랄랄라 랄랄랄라 랄랄랄라 랄랄랄 랄랄랄라 랄랄랄라 랄랄랄라 랄랄랄 랄랄랄라 랄랄랄라 랄랄랄라 랄랄랄 랄랄랄라",19,1969,솔로,남성,YPC프로덕션,1950.03.21
2,68155,"슬픔의 심로",김학래,"김학래 전집",1989,Ballad,김학래,"낙엽이 외로이 떨어지는 건 두 사람이 헤어지는 건  슬프기 때문에 눈물을 흘려요 두 사람이 흘려요  우린 헤어질수 없기 때문에 창밖에는 비가 내려요  두 사람은 우산도 안 썼네요  헤어지기 마음이 아파 비를 맞아요 고개를 숙여요  우린 둘만이 사랑하기 때문에  이 시간이 지나고 또 지나 햇살이 비추면  온 마음을 열고 나그네가 되어요  뜨거운 마음으로 눈물을 적셔요 슬픔을 적셔요  이젠 뒤 돌아 서서 고개를 들어요    때론 슬픔에 아파 어쩔줄 모르고  이룰 수 없는 순간들을 그렸어요  정다웠고 정다웠던 지난날의 이야기 속에  우리 이제는 떠나야 하나요  이 시간이 지나고 또 지나 햇살이 비추면  온 마음을 열고 나그네가 되어요  뜨거운 마음으로 눈물을 적셔요 슬픔을 적셔요  이젠 뒤 돌아 서서 고개를 들어요  이 시간이 지나고 또 지나 햇살이 비추면  온 마음을 열고 나그네가 되어요  뜨거운 마음으로 눈물을 적셔요 슬픔을 적셔요  이젠 뒤 돌아 서서 고개를 들어요",6,1979,솔로,남성,,1957.08.12
1,68156,"해야 해야",김학래,"김학래 전집",1989,Ballad,김학래,"하늘을 바라보며 청춘을 생각하니 바람이 부는 대로 그렇게 걸어 왔네 하늘의 하늘의 해야 너는 식지 않는 청춘 메마른 내 청춘에 너의 빛을 주렴 무엇을 사랑하고 무엇을 얻어야 하나 세상의 모든 것이 다 내것은 아니라네 하늘의 하늘의 해야 너는 꿈을 안은 불꽃 메마른 내 인생에 너의 빛을 주렴  해 해 해야 해야 내가 간다 너를 품으려 내가 날아 간다 해 해 해야 해야 내가 간다 간다 간다 새가 되어 간다 해 해 해야 해야 내가 간다 꿈을 찾아서 내가 날아 간다 해 해 해야 해야 내가 간다 간다 간다 새가 되어 간다  어디로 가야하고 어디로 날아야 하나 세상의 모든 것이 다 내 것은 아니라네 하늘의 하늘의 해야 너는 식지 않는 청춘 내청춘 새가 되어 네 곁으로 간다  해 해 해야 해야 내가 간다 너를 품으려 내가 날아 간다 해 해 해야 해야 내가 간다 간다 간다 새가 되어 간다 해 해 해야 해야 내가 간다 꿈을 찾아서 내가 날아 간다 해 해 해야 해야 내가 간다 간다 간다 새가 되어 간다 해 해 해야 해야 내가 간다 너를 품으려 내가 날아 간다 해 해 해야 해야 내가 간다 간다 간다 새가 되어 간다 해 해 해야 해야 내가 간다 꿈을 찾아서 내가 날아 간다 해 해 해야 해야 내가 간다 간다 간다 새가 되어 간다",6,1979,솔로,남성,,1957.08.12
